celltype,class,logFC,P.Value,FDR,median_depth,mean_depth,n_cells
Sncg_4,GABA,-0.575270675515768,0.0265920198416143,0.124123424704404,0.131469984331719,0.2073452282406334,169
Sncg_5,GABA,-0.593366991088298,0.0053424402273904,0.0623284693195554,0.1393096807618966,0.1990027160732429,785
Sncg_2,GABA,-0.482120504863973,0.0036175062439255,0.0542625936588827,0.1429339074937605,0.1564002257538703,853
L2/3 IT_1,Glut,-0.177041553741927,0.50585420740324,0.74211847507274,0.1630133674791425,0.1675898630125278,106
L2/3 IT_6,Glut,-0.27445467526659,0.376347264413121,0.617444730677776,0.1733896025870401,0.1850661198583392,26
Sncg_6,GABA,-0.204779645447232,0.269308534995024,0.533535776876934,0.17396095863792,0.2370130042262666,321
Lamp5_5,GABA,-0.4461761823774,0.0379267294560244,0.159292263715302,0.1752689968817133,0.206437757000203,1681
L2/3 IT_7,Glut,0.0664017995406799,0.566002876803498,0.749714129722458,0.1983659906232798,0.2235490095747362,63081
Sncg_3,GABA,-0.0540099526703132,0.63424911144556,0.79061828088573,0.199792995828711,0.2604623225694156,1301
Vip_9,GABA,-0.167474875423268,0.179667402868333,0.419223940026109,0.1998913298602234,0.2377303295896316,2455
Vip_13,GABA,-0.570608039705351,0.0118469689370295,0.0776382726029292,0.2081187385346453,0.2230112964865853,178
Vip_6,GABA,0.0041596217152298,0.985123124491953,0.985123124491953,0.2092666470312063,0.2186558711537933,90
Sst_25,GABA,-0.269528495629147,0.290459933183314,0.554514417895417,0.2116506557704901,0.2250956577579435,783
Vip_16,GABA,0.0214046503973097,0.86747537622962,0.939019737155774,0.2239608596692526,0.2705868098424739,708
Vip_5,GABA,0.445990893394783,0.171620034411627,0.409547809391382,0.226780481087978,0.2393493016060892,56
Pax6_2,GABA,-0.205365268050545,0.11243725766404,0.310681896176954,0.2312770419777369,0.262415913761811,401
Sst_11,GABA,0.186962076659638,0.0646678233273793,0.212191295292963,0.2330335377773472,0.3022664997094245,7092
Vip_1,GABA,-0.0979278475922157,0.352225913037435,0.596511626918237,0.2357793216390805,0.2578595588878588,5321
Pax6_1,GABA,-0.0470074710106049,0.705274100250053,0.839542734826362,0.2410683108698272,0.3090836751236752,2229
Pax6_4,GABA,-0.0994951921714515,0.426085865354499,0.677863876700339,0.2414226044076874,0.3178263546813186,457
L2/3 IT_8,Glut,-0.496473962029041,0.0010050263907057,0.0345759932873522,0.2571169244684525,0.2943623063548903,22725
Sst Chodl_2,GABA,-0.618681873632994,0.0004770957257436,0.0250475256015412,0.2629340426806709,0.3284086067458827,3610
Lamp5_3,GABA,-0.213068321697599,0.151221295532839,0.387274049535319,0.2705382667519355,0.3005804717490461,1506
Vip_14,GABA,-0.159429031872605,0.329808605629551,0.578458766240809,0.2722084544496829,0.3024812347833026,277
L2/3 IT_2,Glut,-0.270664944771326,0.0116592849104325,0.0776382726029292,0.2770870308781065,0.3756967157002394,9814
Vip_4,GABA,-0.367198868197634,0.1050982891713,0.300343881659587,0.2784184953885856,0.3079955259130125,254
Pax6_3,GABA,-0.516529792230139,0.0120925797067335,0.0776382726029292,0.2811111805241316,0.3344516242454773,236
Pvalb_5,GABA,-0.314411993580937,0.0211152226491769,0.115781037937549,0.2839112929895492,0.3387949259936178,3526
Sst_20,GABA,-0.161206265216985,0.232632776425423,0.488528830493387,0.287451817231578,0.3107473288829217,1622
Vip_12,GABA,-0.512949886170542,0.0035012507663987,0.0542625936588827,0.3100984446786367,0.3313294118404682,314
Pvalb_14,GABA,0.131007569831736,0.327295714732661,0.578458766240809,0.3106340112056318,0.3639365108827021,1414
L2/3 IT_12,Glut,-0.0122997654410929,0.910206300350024,0.963387006788382,0.3133131130174521,0.3486766898536947,38834
Vip_15,GABA,-0.113016352284059,0.664431451432717,0.80190002759121,0.330292935760729,0.3241453127336786,41
Micro-PVM_1,NN,0.007797570823611,0.96421424982297,0.973485540686652,0.3707990296558853,0.4273562345122665,1627
Endo_1,NN,0.0328201349957066,0.711612413329011,0.839542734826362,0.3719751192458257,0.4178829517462991,92615
Astro_5,NN,0.0269220053133185,0.899732592369183,0.963387006788382,0.3742731899098266,0.4271119284532965,14672
Pvalb_8,GABA,0.0735446779077234,0.4842062749553,0.726309412432951,0.3794429983850187,0.4185005181750609,21083
Vip_21,GABA,0.0740645585960086,0.439109350910131,0.678036497728879,0.3857177432160298,0.4101487894149198,36154
Astro_2,NN,-0.562786123907868,0.0434453548687291,0.162920080757734,0.3867815440458555,0.409857885893815,35170
VLMC_2,NN,0.0775777796445521,0.362652058319856,0.604420097199759,0.4032883315813178,0.43896218062169,38775
Sst_2,GABA,-0.36585346823165,0.0612353385897488,0.207410017803988,0.4064608218146764,0.4017173529480551,812
Micro-PVM_2,NN,-0.2337900973684,0.151130554547972,0.387274049535319,0.4154105250743265,0.4481254642114804,28730
L2/3 IT_3,Glut,-0.273074312325759,0.0465806820482551,0.168654193622993,0.4177771463377826,0.4105120892088025,4892
Chandelier_2,GABA,-0.318350403625262,0.008988645301853,0.0776382726029292,0.4195067507927489,0.4382285196806122,11769
L2/3 IT_5,Glut,-0.0110599492084357,0.940321319451744,0.967977828847383,0.4255032205886397,0.412876154632528,1913
Lamp5_2,GABA,-0.107737016221624,0.301466734245747,0.565250126710776,0.4292695280536031,0.4361936264378742,3911
L2/3 IT_13,Glut,-0.159102929812246,0.149021119737651,0.387274049535319,0.4310270541618147,0.4318226808808118,52801
Pvalb_2,GABA,-0.112673194016723,0.247526866543453,0.509614137001226,0.434022273329164,0.433681136165393,3175
Endo_2,NN,-0.207087099103062,0.0231562075875098,0.115781037937549,0.4380905179881053,0.4599535341654892,46158
VLMC_1,NN,0.571387041060053,0.0394649759889831,0.159377787647816,0.4540351022432378,0.4800381981924222,16673
Lamp5_Lhx6_1,GABA,-0.0280455007829313,0.765567246159122,0.883346822491294,0.4555229343541791,0.483199500805381,2308
Sst_3,GABA,-0.252271179092678,0.184309414033286,0.420706271162937,0.4567514669034815,0.4498509951519198,983
L4 IT_3,Glut,0.379498746251932,0.0432641855689228,0.162920080757734,0.4806301621959991,0.4869936278482143,441
OPC_2,NN,-0.008894510787256,0.96413024908804,0.973485540686652,0.4824068729768479,0.4934979382740078,2676
L4 IT_4,Glut,-0.0993186493379049,0.466266009821406,0.709535232336923,0.494781836980101,0.5040658708875871,1970
Chandelier_1,GABA,-0.134690971649762,0.536535017669904,0.74211847507274,0.499697515838468,0.4820305186958187,223
Vip_19,GABA,-0.0506478696888964,0.762778471799806,0.883346822491294,0.5023496510119424,0.4964477173504463,973
Astro_4,NN,0.529206326348657,0.0227359210543789,0.115781037937549,0.5132896557096938,0.4995464607882239,30967
L4 IT_2,Glut,-0.0973956434024261,0.553167505698281,0.74464856536307,0.5325295100544766,0.5353991159245214,16735
Pvalb_6,GABA,-0.0397739374076632,0.641805637736072,0.79061828088573,0.5396635865239825,0.5345763719754316,4630
Pvalb_15,GABA,-0.112453774930714,0.422180878144638,0.677863876700339,0.5424158224417979,0.5395169868694234,1480
Sst_19,GABA,-0.608395237169623,0.0114021841030296,0.0776382726029292,0.5431845240969441,0.5382200398734417,316
Pvalb_3,GABA,-0.1556509055867,0.534285065093653,0.74211847507274,0.5635732500969882,0.5110642923278621,232
L4 IT_1,Glut,0.118576829592815,0.210795162491494,0.461114417950143,0.5762491704020988,0.5775589342308523,27701
Sst_9,GABA,-0.196912476515815,0.520926931677293,0.74211847507274,0.596001831660776,0.5966008315604058,65
Sst_10,GABA,0.0119635062394287,0.925791720402985,0.963387006788382,0.59731166610704,0.6060426001026834,6207
Oligo_4,NN,-0.1035565286504,0.307036828794338,0.56559415830536,0.6035730349183255,0.5871320981033947,111588
L5 IT_6,Glut,0.0525950597957758,0.536252509813273,0.74211847507274,0.603846436659041,0.6027734521997862,12218
L5 IT_2,Glut,0.0666233187393809,0.586466037144403,0.760233751853855,0.6223118542918992,0.6352507358109438,4561
L5 ET_1,Glut,0.418761362499054,0.0861530769379268,0.25845923081378,0.6272559193313135,0.5966684764733031,49
L5/6 NP_2,Glut,-0.279439552102612,0.337694567717622,0.581277534595906,0.6328842309993173,0.62682834944069,24
L5 ET_2,Glut,-0.0726030432490291,0.617720611044708,0.781453785056558,0.6339104227353622,0.6364849069565425,2343
L6b_1,Glut,0.440754762179622,0.0069915548150047,0.0734113255575501,0.636693400615717,0.6066317056185165,14482
L5/6 NP_6,Glut,0.264639522036739,0.278595186300042,0.541712862250081,0.6430265118337131,0.6572862526903535,468
L5/6 NP_3,Glut,0.0213136400023785,0.862677944305719,0.939019737155774,0.6477679390411168,0.6620756968220618,4304
L5 IT_7,Glut,-0.0513339725323817,0.861218504100401,0.939019737155774,0.6478610379834754,0.6573362867816321,1055
L5/6 NP_1,Glut,-0.10544076477517,0.544220215053343,0.74211847507274,0.6621268591771529,0.6775766930278048,293
L5/6 NP_4,Glut,-0.0208449914740113,0.92668654938692,0.963387006788382,0.6626748463833412,0.6810721417163598,122
Sst_4,GABA,0.134332691066721,0.330547866423319,0.578458766240809,0.6713947418139862,0.6751984864578581,1456
Sst_5,GABA,0.213112414470063,0.200484126913951,0.44789007076521,0.6804350221148783,0.691917102603951,577
L5 IT_3,Glut,0.34717022532913,0.231819677733742,0.488528830493387,0.7072379050351809,0.7020891444007065,68
Endo_3,NN,0.085781174114461,0.784035379893742,0.894822987922206,0.7143623091843049,0.5757996255437635,29
Sst Chodl_1,GABA,0.566205635258001,0.001317180696661,0.0345759932873522,0.715342049712188,0.656740378007521,224
OPC_1,NN,0.591147950317425,0.160099337576122,0.400248343940304,0.7342619271534034,0.6615039009752363,3878
L6b_2,Glut,0.621243844618811,0.0001974206235263,0.0207291654702651,0.7372131676992149,0.6821788525274567,5529
Oligo_1,NN,0.784938238358564,0.002788331613743,0.0542625936588827,0.7507117601592755,0.6751224959332457,5159
Astro_3,NN,1.43226766415949,0.0283710685038637,0.124123424704404,0.763783723753809,0.6988119623241217,1246
Oligo_2,NN,1.237450819619,0.0275437733548996,0.124123424704404,0.7710561937355531,0.7190226411387773,2809
Astro_1,NN,0.271893671783092,0.571210765502825,0.749714129722458,0.7747318123642224,0.7021024893202448,168
L6b_3,Glut,0.322485862480503,0.0503589604697744,0.176256361644211,0.7766980059445332,0.7038796353720851,700
Oligo_3,NN,1.3574986799869,0.0691875439036582,0.220142185148003,0.7774502589421491,0.7343476043887965,901
Sst_1,GABA,0.028507840091886,0.832037737872274,0.929403856133923,0.7832747071232175,0.7163604463261817,365
Sst_7,GABA,-0.0806463014981345,0.647554020534979,0.79061828088573,0.7874317698049155,0.7537506409584254,270
L6b_4,Glut,0.66357433256956,0.0133094181605022,0.0776382726029292,0.8031856156616348,0.7712203834675071,158
L6 IT Car3_3,Glut,0.14828577716152,0.538095326480522,0.74211847507274,0.8037959405286734,0.7763962005878781,780
Pvalb_13,GABA,-0.644441174427811,0.0101887277900062,0.0776382726029292,0.804010346971772,0.7582275224712837,56
L6 IT_1,Glut,0.41712017623935,0.253501628989906,0.511878289306541,0.8083714161964769,0.7723473479598237,87
Pvalb_7,GABA,0.424398460231306,0.0814623552242527,0.251574920545486,0.8096368409313239,0.7841555972319728,46
L6b_5,Glut,0.393913573476079,0.105835463060997,0.300343881659587,0.8123866511934961,0.7826207001622838,381
L6 CT_3,Glut,-0.132933058565032,0.433328876172775,0.678036497728879,0.8125583392443638,0.7901133909119287,2209
L6 IT_2,Glut,0.158957194393138,0.166652375116378,0.406941846214411,0.813944516289983,0.7817068695497863,15759
L6 CT_1,Glut,0.664109432500265,0.0050241942474258,0.0623284693195554,0.8147201397033652,0.7960485843750225,72
L6 CT_2,Glut,0.0682711722353366,0.822558536888102,0.928695122293018,0.8170588473088781,0.80217072413528,79
L6b_6,Glut,0.310962580562369,0.0133055343747186,0.0776382726029292,0.8175321855866458,0.799169821368811,4321
L6 CT_4,Glut,-0.131944749872542,0.597820220769701,0.765501502205105,0.8223924442129857,0.8008522238908097,51
